16:59:05.946696142 [14364] Ctx.cpp:60                   LOG_INFO      gnev         Logger inited
16:59:05.950823618 [14364] Ctx.cpp:102                  LOG_DEBUG     gnev         glActiveTexture(33984)
16:59:05.950944635 [14364] Ctx.cpp:102                  LOG_DEBUG     gnev         glActiveTexture(33985)
16:59:05.951052318 [14364] Ctx.cpp:102                  LOG_DEBUG     gnev         glActiveTexture(33986)
16:59:05.956404015 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:05.960402051 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:05.977079074 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:05.993753452 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.010443263 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.027097152 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.043764807 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.060427754 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.077102101 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.093728384 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.110403783 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.127080093 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.143741493 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.160410711 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.177075451 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.193742906 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.210408057 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.227104220 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.243745240 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.260412805 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.277097663 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.293743190 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.310406747 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
16:59:06.327108120 [14364] Ctx.cpp:107                  LOG_DEBUG     gnev         glClear(16640)
